Temperature (K),Pressure (MPa),"Density (l, kg/m3)","Volume (l, m3/kg)","Internal Energy (l, kJ/kg)","Enthalpy (l, kJ/kg)","Entropy (l, J/g*K)","Cv (l, J/g*K)","Cp (l, J/g*K)","Sound Spd. (l, m/s)","Joule-Thomson (l, K/MPa)","Viscosity (l, Pa*s)","Therm. Cond. (l, W/m*K)","Surf. Tension (l, N/m)","Density (v, kg/m3)","Volume (v, m3/kg)","Internal Energy (v, kJ/kg)","Enthalpy (v, kJ/kg)","Entropy (v, J/g*K)","Cv (v, J/g*K)","Cp (v, J/g*K)","Sound Spd. (v, m/s)","Joule-Thomson (v, K/MPa)","Viscosity (v, Pa*s)","Therm. Cond. (v, W/m*K)"
32.444,1.17,44.341,0.022552,189.26,215.64,7.2346,7.0463,90.783,504.34,2.6657,4.6355E-06,0.090384,0.00006255,18.898,0.052914,323.22,385.13,12.459,8.2731,120.04,374.63,8.0941,2.2277E-06,0.062281
32.502,1.18,43.905,0.022776,191.68,218.56,7.3174,7.0871,98.822,497.31,2.7577,4.5751E-06,0.090753,0.000058628,19.287,0.051848,321.13,382.32,12.356,8.3004,130.76,374.48,7.9879,2.2525E-06,0.063911
32.559,1.19,43.447,0.023017,194.21,221.6,7.404,7.1311,108.49,490.12,2.855,4.5126E-06,0.091235,0.000055015,19.698,0.050766,318.91,379.33,12.248,8.3281,143.56,374.32,7.8766,2.2789E-06,0.065718
32.616,1.2,42.96,0.023277,196.87,224.8,7.495,7.1786,120.34,482.75,2.9583,4.4473E-06,0.091858,0.000051731,20.136,0.049663,316.54,376.14,12.135,8.3561,159.12,374.18,7.7595,2.3072E-06,0.067743
32.673,1.21,42.442,0.023561,199.67,228.18,7.5914,7.2305,135.16,475.18,3.0684,4.3789E-06,0.092661,0.0000488,20.604,0.048533,313.99,372.72,12.015,8.3843,178.43,374.04,7.6354,2.3379E-06,0.070043
32.729,1.22,41.886,0.023875,202.65,231.78,7.6942,7.2873,154.2,467.38,3.1867,4.3067E-06,0.093697,0.000046249,21.111,0.047369,311.23,369.02,11.887,8.4127,202.98,373.91,7.5031,2.3713E-06,0.072698
32.785,1.23,41.281,0.024224,205.86,235.65,7.8051,7.3504,179.49,459.3,3.3146,4.2298E-06,0.095051,0.000044109,21.663,0.046161,308.2,364.98,11.75,8.441,235.23,373.8,7.3607,2.4083E-06,0.075827
32.84,1.24,40.616,0.024621,209.35,239.88,7.9263,7.421,214.58,450.9,3.4543,4.1468E-06,0.096861,0.000042412,22.274,0.044895,304.85,360.52,11.6,8.4688,279.37,373.72,7.2058,2.4497E-06,0.07962
32.895,1.25,39.871,0.025081,213.21,244.56,8.0613,7.5014,266.2,442.09,3.6093,4.0561E-06,0.099367,0.00004119,22.963,0.043548,301.07,355.5,11.434,8.4955,343.27,373.69,7.0345,2.4971E-06,0.084393
32.95,1.26,39.016,0.02563,217.6,249.89,8.2156,7.595,348.83,432.77,3.7846,3.9545E-06,0.10304,0.000040461,23.759,0.04209,296.7,349.73,11.246,8.5198,443.6,373.74,6.8411,0.000002553,0.090742
33.004,1.27,37.996,0.026319,222.78,256.21,8.3991,7.7073,499.85,422.75,3.9897,3.8369E-06,0.10898,0.000040182,24.715,0.040461,291.46,342.84,11.024,8.5392,622.61,373.96,6.6152,2.6219E-06,0.099962
33.058,1.28,36.693,0.027253,229.34,264.22,8.6337,7.8497,851.51,411.66,4.2444,3.6923E-06,0.12042,0.000040051,25.948,0.038539,284.74,334.07,10.747,8.5474,1026.5,374.53,6.3349,2.7135E-06,0.11572
